ProductName                                        Category                                          
Racing Socks, M                                    Socks                                             
Racing Socks, L                                    Socks                                             
Women's Tights, S                                  Tights                                            
Women's Tights, M                                  Tights                                            
Women's Tights, L                                  Tights                                            
Classic Vest, S                                    Vests                                             
Classic Vest, M                                    Vests                                             
Classic Vest, L                                    Vests                                             
Hitch Rack - 4-Bike                                Bike Racks                                        
All-Purpose Bike Stand                             Bike Stands                                       
Water Bottle - 30 oz.                              Bottles and Cages                                 
Mountain Bottle Cage                               Bottles and Cages                                 
Road Bottle Cage                                   Bottles and Cages                                 
Bike Wash - Dissolver                              Cleaners                                          
Fender Set - Mountain                              Fenders                                           
Sport-100 Helmet, Blue                             Helmets                                           
Sport-100 Helmet, Red                              Helmets                                           
Sport-100 Helmet, Black                            Helmets                                           
Hydration Pack - 70 oz.                            Hydration Packs                                   
Taillights - Battery-Powered                       Lights                                            
Headlights - Dual-Beam                             Lights                                            
Headlights - Weatherproof                          Lights                                            
Cable Lock                                         Locks                                             
Touring-Panniers, Large                            Panniers                                          
Minipump                                           Pumps                                             
Mountain Pump                                      Pumps                                             
Patch Kit/8 Patches                                Tires and Tubes                                   
Mountain Tire Tube                                 Tires and Tubes                                   
Road Tire Tube                                     Tires and Tubes                                   
Touring Tire Tube                                  Tires and Tubes                                   
LL Mountain Tire                                   Tires and Tubes                                   
ML Mountain Tire                                   Tires and Tubes                                   
HL Mountain Tire                                   Tires and Tubes                                   
LL Road Tire                                       Tires and Tubes                                   
ML Road Tire                                       Tires and Tubes                                   
HL Road Tire                                       Tires and Tubes                                   
Touring Tire                                       Tires and Tubes                                   

(295 rows affected)
